id,post_id,timestamp,reaction_type,count,rn
3416076,1,2025-01-08 08:00:03.351541,⚡,2,1
3416073,1,2025-01-08 08:00:03.349989,❤,13,1
3416077,1,2025-01-08 08:00:03.352019,🏆,2,1
3416074,1,2025-01-08 08:00:03.350528,👍,12,1
3416078,1,2025-01-08 08:00:03.352552,👏,1,1
3416072,1,2025-01-08 08:00:03.349449,🔥,80,1
3416075,1,2025-01-08 08:00:03.351026,ReactionCustomEmoji(document_id=5449656926973469265),6,1
3416071,1,2025-01-08 08:00:03.348920,ReactionPaid(),3,1
3416084,2,2025-01-08 08:00:03.356268,🤩,2,1
3416081,2,2025-01-08 08:00:03.354786,❤,12,1
3416086,2,2025-01-08 08:00:03.357252,❤‍🔥,1,1
3416082,2,2025-01-08 08:00:03.355279,🏆,6,1
3416080,2,2025-01-08 08:00:03.354280,🔥,63,1
3416085,2,2025-01-08 08:00:03.356775,🦄,2,1
3416083,2,2025-01-08 08:00:03.355774,ReactionCustomEmoji(document_id=5460865799478593516),4,1
3416079,2,2025-01-08 08:00:03.353789,ReactionPaid(),6,1
3416097,3,2025-01-08 08:00:03.363714,⚡,1,1
3416091,3,2025-01-08 08:00:03.360756,❤,11,1
3416092,3,2025-01-08 08:00:03.361248,❤‍🔥,5,1
3416094,3,2025-01-08 08:00:03.362280,🏆,4,1
3416089,3,2025-01-08 08:00:03.359751,👍,52,1
3416095,3,2025-01-08 08:00:03.362790,💯,3,1
3416090,3,2025-01-08 08:00:03.360238,🔥,28,1
3416096,3,2025-01-08 08:00:03.363255,🦄,2,1
3416093,3,2025-01-08 08:00:03.361785,🆒,5,1
3416088,3,2025-01-08 08:00:03.359247,ReactionCustomEmoji(document_id=5348397248994617112),65,1
3416087,3,2025-01-08 08:00:03.358762,ReactionPaid(),3,1
3416103,4,2025-01-08 08:00:03.367731,⚡,1,1
3416100,4,2025-01-08 08:00:03.366226,❤,10,1
3416104,4,2025-01-08 08:00:03.368247,🎉,1,1
3416105,4,2025-01-08 08:00:03.368748,🏆,1,1
3416102,4,2025-01-08 08:00:03.367204,👍,3,1
3416099,4,2025-01-08 08:00:03.365729,🔥,38,1
3416106,4,2025-01-08 08:00:03.369232,🆒,1,1
3416101,4,2025-01-08 08:00:03.366739,ReactionCustomEmoji(document_id=5470076726212042350),8,1
3416098,4,2025-01-08 08:00:03.365217,ReactionPaid(),2,1
3416117,5,2025-01-08 08:00:03.375597,🤩,1,1
